2026-04-17 08:10:20,406 | INFO | leadgen.email_txt | dualtemp.com: +1 raw hits (deduped globally)
2026-04-17 08:10:22,709 | INFO | leadgen.email_txt | eca.bc.ca: +6 raw hits (deduped globally)
2026-04-17 08:10:24,081 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: eccosupply.ca
2026-04-17 08:10:24,745 | INFO | leadgen.email_txt | dutco.com: +21 raw hits (deduped globally)
2026-04-17 08:10:25,910 | INFO | leadgen.email_txt | ecaa.ab.ca: +1 raw hits (deduped globally)
2026-04-17 08:10:28,799 | INFO | leadgen.email_txt | ecoelectriccanada.com: +3 raw hits (deduped globally)
2026-04-17 08:10:28,854 | INFO | leadgen.email_txt | ecmweb.com: +14 raw hits (deduped globally)
2026-04-17 08:10:36,091 | INFO | leadgen.email_txt | electricalelite.ca: +2 raw hits (deduped globally)
2026-04-17 08:10:36,929 | INFO | leadgen.email_txt | electriccainc.com: +9 raw hits (deduped globally)
2026-04-17 08:10:38,900 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: ensun.io
2026-04-17 08:10:41,877 | INFO | leadgen.email_txt | endlesspools.com: +1 raw hits (deduped globally)
2026-04-17 08:10:43,112 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: enr.com
2026-04-17 08:10:43,260 | INFO | leadgen.email_txt | enfrasolutions.com: +1 raw hits (deduped globally)
2026-04-17 08:10:48,169 | INFO | leadgen.email_txt | ecao.org: +4 raw hits (deduped globally)
2026-04-17 08:10:49,951 | INFO | leadgen.email_txt | esasafe.com: +5 raw hits (deduped globally)
2026-04-17 08:10:51,995 | INFO | leadgen.email_txt | esub.com: +1 raw hits (deduped globally)
2026-04-17 08:10:52,794 | INFO | leadgen.email_txt | f6s.com: +1 raw hits (deduped globally)
2026-04-17 08:10:55,958 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: fdcorp.com
2026-04-17 08:10:58,458 | INFO | leadgen.email_txt | findingmfg.com: +2 raw hits (deduped globally)
2026-04-17 08:11:00,760 | INFO | leadgen.email_txt | fliarbi.com: +1 raw hits (deduped globally)
2026-04-17 08:11:01,261 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: ferguson.com
2026-04-17 08:11:05,213 | INFO | leadgen.email_txt | fortune.com: +3 raw hits (deduped globally)
2026-04-17 08:11:05,214 | INFO | leadgen.email_txt | fieldpiece.com: +4 raw hits (deduped globally)
2026-04-17 08:11:05,305 | INFO | leadgen.email_txt | forbes.com: +9 raw hits (deduped globally)
2026-04-17 08:11:11,176 | INFO | leadgen.email_txt | fortisbc.com: +1 raw hits (deduped globally)
2026-04-17 08:11:12,464 | INFO | leadgen.email_txt | foxwoodelectric.ca: +1 raw hits (deduped globally)
2026-04-17 08:11:13,315 | INFO | leadgen.email_txt | fujitsugeneral.com: +2 raw hits (deduped globally)
2026-04-17 08:11:16,950 | INFO | leadgen.email_txt | furnaceprices.ca: +1 raw hits (deduped globally)
2026-04-17 08:11:17,170 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: geco.com
2026-04-17 08:11:19,383 | INFO | leadgen.email_txt | HTTP blocked or empty → Playwright fallback queued: gemaire.com
